Accession	wrong_orf	correct_orf	coordinates	strand
PP871917	1B	1A_1B	0-4173	1
PP711869	2	1B_2	3465-5895	1
PP173657	1B	1A_1B	28-6586	-1
PP172843	1B	1A_1B	70-9073	-1
OR613288	2	1B_2	0-1801	1
OP272633	1B	1A_1B	2594-5054	1
ON807348	1B	1A_1B	0-4254	1
OM451103	1B	1A_1B	0-3879	1
MT766332	1B	1A_1B	2-2059	1
OM451147	1B	1A_1B	0-3909	1
OM451211	1B	1A_1B	40-3976	1
OM451210	1B	1A_1B	0-3888	1
OM451148	1B	1A_1B	36-4272	1
OM451116	1B	1A_1B	1-4153	1
OM451114	1B	1A_1B	0-4089	1
OM451113	1B	1A_1B	98-4190	1
OM451109	1B	1A_1B	2-4154	1
OM451108	1B	1A_1B	0-2061	1
OM451107	1B	1A_1B	1-3928	1
OM451106	1B	1A_1B	0-3975	1
OM451105	1B	1A_1B	2-3941	1
OM451115	1B	1A_1B	35-4271	1
OM451112	1B	1A_1B	69-4305	1
OM451111	1B	1A_1B	58-4294	1
OM451110	1B	1A_1B	1-4324	1
OM451104	1B	1A_1B	28-3964	1
MZ603072	2	1A_1B_2	0-6732	1
MN033872	1B	1A_1B	838-8044	1
MG599898	1B	1B_2	3231-6528	1
